,Reigion Name,Country,Urbanisation,iso_3166_2_code,Reigion Area (ha),"COVID-19 Death Rate April-May (per 100,000)",Gross Income Per Head (2018 pounds),Mobility Retail & Recreation Average Post Lockdown (% from baseline),Mobility Retail & Recreation Rate of Change Post Lockdown (% from baseline per day),Mobility Parks Average Post lockdown (% from baseline),Mobility Park Rate of Change Post lockdown  (% from baseline per day),Mobility Grocery & Pharmacy Average Post Lockdown (% from baseline),Mobility Grocery & Pharmacy Rate of Change Post Lockdown (% from baseline per day),Mobility Transit Stations Average Post lockdown (% from baseline),Mobility Transit Station Rate of Change Post lockdown  (% from baseline per day),Mobility Workplaces Average Post lockdown (% from baseline),Mobility Workplaces Rate of Change Post lockdown  (% from baseline per day),Mobility Residential Average Post Lockdown (% from Baseline),Mobility Residential Rate of Change Post Lockdown (% from Baseline),Greenspace Number,Greenspace Area (ha),Greenspace Average Area (ha),Greenspace Fraction,Greenspace (non-sport) Number,Greenspace (non-sport) Area (ha),Greenspace (non-sport) Average Area (ha),Greenspace (non-sport) Fraction,Greenspace (sport) Number,Greenspace (sport) Area (ha),Greenspace (sport) Average Area (ha),Greenspace (sport) Fraction,Alloments Number,Alloments Area (ha),Alloments Average Area (ha),Alloments Fraction,Bowling Number,Bowling Area (ha),Bowling Average Area (ha),Bowling Fraction,Cemetery Number,Cemetery Area (ha),Cemetery Average Area (ha),Cemetery Fraction,Golf Course Number,Golf Course Area (ha),Golf Course Average Aera,Golf Course Fraction,Other Sport Number,Other Sport Area (ha),Other Sport Average Area (ha),Other Sport Fraction,Religious Grounds Number,Religious Grounds Area (ha),Religious Grounds Average Area (ha),Religious Grounds Fraction,Tennis Court Number,Tennis Court Area (ha),Tennis Court Average Area (ha),Tennis Court Fraction,Public Park or Garden Number,Public Park or Garden Area (ha),Public Park or Garden Average Area (ha),Public Park or Garden Fraction,Playing Field Number,Playing Field Area (ha),Playing Field Average Area (ha),Playing Field Fraction,Play Space Number,Play Space Area (ha),Play Space Average Aera,Play Space Fraction
103,Shetland Islands,Scotland,Rural,GB-ZET,0,,20890,-76.16666667,-1.076923077,,,-40.25,-0.444055944,-47.4137931,0.258832913,-54.82089552,0.259783891,,,173,198.8666369,1.149518132,0.001177771,145,40.87617273,0.281904639,0.000242086,40,170.3688201,4.259220502,0.001008995,1,0.36029066,0.36029066,2.13E-06,1,0.149948515,0.149948515,8.88E-07,52,11.44074515,0.22001433,6.78E-05,5,139.5668222,27.91336445,0.000826573,20,18.15253703,0.907626851,0.000107507,28,8.04572217,0.28734722,4.77E-05,2,0.12115639,0.060578195,7.18E-07,3,3.89856481,1.299521603,2.31E-05,12,12.37835591,1.03152966,1,49,4.752494016,0.096989674,1
104,Shropshire,England,Rural,GB-SHR,0,23.4,18841,-66.7311828,0.284443914,2.634408602,0.966160365,-24.98924731,0.303601802,-46.16129032,0.440273343,-51.61290323,0.304705917,19.23655914,-0.107725821,1193,2726.740466,2.285616485,0.008469305,922,1399.008636,1.517362946,0.004345346,456,1700.814673,3.729856739,0.005282761,63,40.39722211,0.641225748,0.000125475,88,19.47546565,0.22131211,6.05E-05,74,62.57874826,0.84565876,0.000194371,28,1066.958894,38.10567479,0.003313994,90,233.1866209,2.590962454,0.000724282,305,111.1420017,0.364400006,0.000345209,65,8.11084965,0.124782302,2.52E-05,45,789.1864661,17.53747702,0.002451227,185,373.0828426,2.016664014,1,250,22.62135548,0.090485422,1
105,Slough,England,Urban,GB-SLG,0,19.7,,-57.10752688,0.386992331,10.95890411,0.612842646,-23.55913978,0.226970249,-68.84946237,0.26164543,-54.96774194,0.28590612,24.56521739,-0.12664233,244,712.4063583,2.91969819,0.133958587,190,480.6044113,2.529496902,0.090371299,89,386.8200866,4.346293107,0.072736398,20,28.20375916,1.410187958,0.005303344,5,1.646602721,0.329320544,0.000309622,7,15.50817497,2.215453567,0.002916107,6,146.4946239,24.41577065,0.027546375,31,80.94580137,2.611154883,0.015220787,26,10.09875917,0.388413814,0.001898938,12,2.71491898,0.226243248,0.000510505,20,262.4431031,13.12215515,0.049348952,35,155.0181396,4.429089703,1,82,9.332475344,0.113810675,1
106,Somerset,England,Rural,GB-SOM,0,8.5,20441,-66.95698925,0.284190266,-0.64516129,0.899316642,-24.64516129,0.277849064,-45.51612903,0.473143147,-49.78494624,0.290665752,18.77419355,-0.105771239,1975,3104.563401,1.571930836,0.009080634,1691,1941.838977,1.148337656,0.005679745,636,1909.595157,3.002508109,0.005585434,174,121.8341142,0.700196059,0.000356356,31,9.90372057,0.319474857,2.90E-05,97,87.41130232,0.901147447,0.000255672,27,851.8899869,31.551481,0.00249172,126,289.3222985,2.296208718,0.000846248,440,152.5705919,0.346751345,0.000446258,100,11.6084184,0.116084184,3.40E-05,79,775.3747465,9.814870209,0.002267918,352,746.8707327,2.121791854,1,549,57.77748909,0.105241328,1
107,South Ayrshire Council,Scotland,Rural,GB-SAY,0,,19825,-70.09677419,0.238772343,-10.55405405,0.811937548,-23.2688172,0.243875145,-52.35483871,0.282026797,-56.16129032,0.248485572,17.625,0.001417298,410,1415.544867,3.452548457,0.011732818,315,546.1935854,1.73394789,0.004527154,134,972.3491522,7.256336956,0.008059367,4,2.07441174,0.518602935,1.72E-05,35,12.76486837,0.364710525,0.000105802,38,37.56036826,0.988430744,0.000311321,16,812.5275126,50.78296954,0.006734677,32,40.66321081,1.270725338,0.000337039,36,12.39462281,0.344295078,0.000102733,12,3.39569007,0.282974173,2.81E-05,51,374.4306144,7.341776753,0.003103488,39,102.9978703,2.640971034,1,147,16.73569792,0.113848285,1
108,South Gloucestershire,England,Rural,GB-SGC,0,16.4,22553,-66.74193548,0.199233088,49.31111111,1.215566846,-24.43010753,0.214645937,-54.03225806,0.278266838,-56.52688172,0.28745785,23.28888889,-0.131830849,586,1915.930461,3.269505907,0.038569491,472,1118.057915,2.368766768,0.022507563,207,1076.337254,5.19969688,0.021667686,51,40.15094819,0.787273494,0.000808277,5,1.271775755,0.254355151,2.56E-05,20,17.38848836,0.869424418,0.000350047,12,612.749809,51.06248409,0.012335233,63,180.2720224,2.861460673,0.003629046,89,46.65396986,0.524201908,0.000939189,34,3.57893933,0.105262921,7.20E-05,48,718.061849,14.95962185,0.014455264,93,278.4647076,2.994244168,1,171,17.33795169,0.10139153,1
109,South Lanarkshire,Scotland,Rural,GB-SLK,0,,19072,-60.06451613,0.257452777,23.20454545,0.743787736,-18.40860215,0.181298678,-53.92473118,0.257960073,-57.2688172,0.262645102,20.96774194,-0.090209185,863,2073.460869,2.402619779,0.01161494,690,1105.128216,1.601635095,0.006190615,278,1217.440591,4.379282702,0.006819757,8,5.18642343,0.648302929,2.91E-05,50,24.49432257,0.489886451,0.00013721,42,81.43143657,1.938843728,0.000456156,23,768.418365,33.40949413,0.004304462,83,172.9217512,2.083394593,0.000968659,92,31.28607977,0.340066084,0.000175256,17,2.49821489,0.146953817,1.40E-05,61,710.8269333,11.65290055,0.003981851,105,249.1079374,2.372456547,1,382,27.2894051,0.071438233,1
110,South Yorkshire,England,Urban,,0,31,16541,-68.76344086,0.268613291,16.34408602,0.861164991,-22.29032258,0.227984841,-58.46236559,0.247336695,-52.08602151,0.295112053,19.46236559,-0.104920772,2670,7040.527748,2.636901778,0.045361506,2069,4771.519514,2.306195995,0.030742484,1049,3646.8265,3.476479028,0.023496185,374,498.5599693,1.333048046,0.003212178,146,39.84339861,0.27289999,0.000256708,110,272.9783931,2.481621755,0.001758776,47,1791.859543,38.12467112,0.011544795,340,427.6989083,1.257937966,0.002755627,315,133.606202,0.424146673,0.000860813,68,9.606384895,0.141270366,6.19E-05,235,2415.60675,10.27917766,0.015563544,448,1377.818266,3.0754872,1,587,72.94993373,0.124275867,1
111,Southampton,England,Urban,GB-STH,0,24.9,16994,-74.03225806,0.193085852,4.172043011,0.909537167,-21.46236559,0.228342932,-59.74193548,0.230625765,-55.3655914,0.257452777,20.58241758,-0.128279431,290,613.4559241,2.115365256,0.118920982,235,465.4866893,1.980794423,0.090236531,79,241.0160913,3.050836599,0.046721972,29,47.61728054,1.641975191,0.009230808,8,2.861507145,0.357688393,0.000554715,5,38.92618446,7.785236891,0.007546003,1,51.54512014,51.54512014,0.009992236,33,91.98997557,2.787575017,0.017832639,31,12.22617559,0.394392761,0.002370095,13,1.57263197,0.12097169,0.000304861,27,261.769574,9.695169408,0.050745121,24,93.04685652,3.876952355,1,119,11.90061817,0.100005195,1
112,Southend-on-Sea,England,Urban,GB-SOS,0,23.3,21064,-67.23655914,0.373399779,26.77941176,1.384273639,-16.55913978,0.205484766,-60.67741935,0.358374862,-56.61290323,0.314792158,23.43939394,-0.121611583,178,349.1510098,1.961522527,0.101485203,112,187.532666,1.674398803,0.054508766,76,184.3756178,2.42599497,0.053591129,12,17.8493532,1.4874461,0.005188143,13,5.296433594,0.407417969,0.001539476,3,11.23277353,3.744257842,0.003264949,4,118.0857231,29.52143079,0.034323124,26,33.85430057,1.302088483,0.009840185,27,8.865095066,0.328336854,0.002576753,23,4.38188646,0.190516803,0.001273651,17,119.3345627,7.019680158,0.034686116,10,22.75727398,2.275727398,1,43,7.493607516,0.174269942,1
113,Staffordshire,England,Rural,GB-STS,0,19.7,18841,-65.60215054,0.291367014,7.935483871,0.902226135,-22.10752688,0.233565098,-51.37634409,0.366088747,-53.12903226,0.333785921,20.23655914,-0.116663185,2127,8082.136206,3.799781949,0.030574059,1668,5428.39007,3.254430497,0.020535155,855,3599.748281,4.210231908,0.013617553,173,140.869171,0.814272665,0.000532897,109,24.66190431,0.226256003,9.33E-05,93,159.4063572,1.714046851,0.000603021,67,2047.648961,30.56192479,0.007746088,208,567.7517776,2.729575854,0.002147758,320,153.8340598,0.480731437,0.000581942,75,13.68349307,0.182446574,5.18E-05,157,3983.131428,25.37026387,0.01506786,396,946.0021452,2.388894306,1,529,45.14690861,0.085343873,1
114,Stirling,Scotland,Rural,GB-STG,0,:,21561,-72.13978495,0.244800215,-20.4673913,0.739225249,-27.92473118,0.230655606,-67.59139785,0.228701024,-62.37634409,0.264375877,,,359,1149.177584,3.201051766,0.005055947,294,708.9657397,2.411448094,0.003119181,108,539.85297,4.998638611,0.002375149,5,5.13785223,1.027570446,2.26E-05,24,6.18544523,0.257726885,2.72E-05,47,32.85210035,0.698980859,0.000144537,13,398.2006174,30.63081672,0.001751932,26,35.49800881,1.365308031,0.000156178,51,26.73239015,0.524164513,0.000117612,2,0.32777275,0.163886375,1.44E-06,53,529.3580777,9.987888258,0.002328975,43,99.64112581,2.317235484,1,95,15.24419352,0.160465195,1
115,Stockton-on-Tees,England,Urban,GB-STT,0,35.4,17243,-63.61290323,0.311748381,-2.202380952,0.78870726,-23.93548387,0.225269315,-34.96774194,0.66436394,-50.03225806,0.315702307,20.21917808,-0.11965724,258,1063.756684,4.123087924,0.047873795,195,722.0114581,3.702622862,0.032493735,106,478.9094679,4.518013848,0.021553062,28,38.53779633,1.376349869,0.001734373,11,3.77010416,0.342736742,0.000169672,8,36.34565815,4.543207269,0.001635717,7,283.5688443,40.5098349,0.012761863,35,52.69624949,1.505607128,0.002371566,45,17.32737299,0.385052733,0.000779809,10,1.710028295,0.17100283,7.70E-05,24,485.4911981,20.22879992,0.021849269,43,137.1642417,3.189866086,1,47,7.145190856,0.152025337,1
116,Stoke-on-Trent,England,Urban,GB-STE,0,34,15485,-65.56989247,0.294351109,11.44594595,0.611190241,-22.19354839,0.232460983,-61.5483871,0.253842022,-49.47311828,0.302706574,18.21505376,-0.116961595,600,1844.584162,3.074306937,0.164265481,451,1562.20095,3.463860199,0.139118451,232,490.15509,2.112737457,0.043649709,76,73.33795836,0.964973136,0.006530954,39,9.158321775,0.234828763,0.000815575,13,89.96960582,6.920738909,0.00801205,7,195.1699394,27.88141991,0.01738044,91,75.99262761,0.83508382,0.00676736,53,28.52393881,0.538187525,0.002540138,12,2.062323715,0.17186031,0.000183656,124,1154.04144,9.306785808,0.102770682,83,207.7718775,2.503275633,1,102,8.55612905,0.083883618,1
117,Suffolk,England,Rural,GB-SFK,0,15.3,20381,-67.22580645,0.29533586,7.096774194,1.157037988,-25.39784946,0.294679359,-45.03225806,0.452344006,-51.47311828,0.30572051,19.43010753,-0.112754021,2666,5504.055553,2.064536967,0.014492695,2230,3620.555888,1.623567663,0.009533263,822,2741.637545,3.33532548,0.007218989,254,239.7197398,0.943778503,0.000631205,132,30.24209016,0.229106744,7.96E-05,134,140.1832281,1.046143493,0.000369116,43,1566.234736,36.42406363,0.004124043,160,275.0781413,1.719238383,0.000724307,591,268.5180145,0.454345202,0.000707033,101,11.94469706,0.118264327,3.15E-05,173,2046.201546,11.8277546,0.005387841,386,858.1378802,2.22315513,1,692,67.79548002,0.097970347,1
118,Surrey,England,Rural,GB-SRY,0,17.7,30359.5,-69.86021505,0.204186685,7.376344086,1.017680762,-25.66666667,0.21378055,-62.97849462,0.299319626,-61.39784946,0.310882994,24.43010753,-0.118468563,2682,10715.12769,3.995200482,0.063425203,1952,5026.390408,2.574995086,0.029752313,1190,6991.069519,5.874848335,0.041381682,213,221.0979367,1.038018482,0.001308727,93,25.15030468,0.270433384,0.00014887,93,301.4612747,3.241519083,0.001784416,100,4963.61241,49.6361241,0.029380716,275,654.5298563,2.380108569,0.003874307,316,162.0855701,0.512929019,0.00095942,262,45.44471386,0.173453106,0.000268997,254,2987.624946,11.76230294,0.017684411,460,1302.332234,2.83115703,1,616,51.78844637,0.084072153,1
119,Swansea,Wales,Urban,GB-SWA,0,16.4,15755,-67.4516129,0.230894333,7.045977011,0.779844682,-30.3655914,0.26449524,-59.86021505,0.223926472,-55.23655914,0.261108293,20.48837209,-0.103468395,483,1277.463067,2.644851071,0.033721731,378,824.0596442,2.180051969,0.021753049,182,673.1084612,3.698398138,0.017768328,22,10.62841426,0.483109739,0.000280563,26,8.295203395,0.319046284,0.000218972,38,56.00073594,1.473703577,0.001478275,10,358.1075655,35.81075655,0.009453116,51,84.57564482,1.658345977,0.002232579,76,29.66243538,0.390295202,0.000783012,18,2.425009125,0.134722729,6.40E-05,37,498.3696859,13.46945097,0.013155674,77,219.7050384,2.853312187,1,128,9.693334362,0.075729175,1
120,Swindon,England,Urban,GB-SWD,0,25.5,19804,-67.72043011,0.241234222,-16.29411765,-0.037254349,-27.84946237,0.113574647,-59.65591398,0.226671839,-54.91397849,0.322789532,22.45679012,-0.159292772,352,881.6444031,2.5046716,0.039458718,264,487.7446088,1.847517458,0.02182941,127,490.537109,3.862496922,0.02195439,42,40.08509596,0.954407047,0.001794041,14,4.119073575,0.294219541,0.000184353,9,16.66740581,1.851933979,0.000745963,8,223.5441779,27.94302223,0.010004903,44,161.4784315,3.669964353,0.0072271,31,15.39513965,0.496617408,0.000689022,22,4.75811129,0.216277786,0.000212953,20,307.1502719,15.35751359,0.013746762,39,96.63731476,2.477879866,1,123,11.80938077,0.096011226,1
121,Thurrock,England,Urban,GB-THR,0,19.1,18976,-68.23655914,0.330055803,-15.91071429,0.423653052,-26.66666667,0.28653278,-49.92473118,0.365939542,-50.96774194,0.334755752,22.56164384,-0.156265846,293,837.9064825,2.859749087,0.051624488,236,489.7918722,2.075389289,0.030176703,98,489.0389607,4.990193476,0.030130315,29,31.2213553,1.076598459,0.001923588,11,3.548642585,0.322603871,0.000218636,7,18.4039476,2.629135372,0.001133891,6,241.4380328,40.23967214,0.014875306,31,102.234456,3.297885677,0.006298795,35,13.69379567,0.391251305,0.000843692,9,0.89347892,0.099275436,5.50E-05,35,272.1616521,7.776047203,0.016768227,41,140.9243504,3.437179278,1,89,13.3867711,0.150413158,1
122,Torbay,England,Urban,GB-TOB,0,7.3,18412,-68.04301075,0.338456029,16.11627907,1.169480578,-19.86021505,0.287994987,-43.01075269,0.455984602,-51.98924731,0.316627376,18.58730159,-0.108581355,250,428.1944035,1.712777614,0.082290359,187,288.5890792,1.543257108,0.055461021,92,189.686262,2.061807195,0.036453887,20,16.41199988,0.820599994,0.003154057,9,3.35653875,0.37294875,0.000645059,5,17.85303245,3.57060649,0.003430994,4,93.09144942,23.27286236,0.017890306,37,38.93526777,1.052304534,0.007482576,23,10.746016,0.467218087,0.002065168,13,4.222068324,0.324774486,0.000811397,51,187.318759,3.672916843,0.035998901,29,50.08093772,1.726928887,1,59,6.178334168,0.104717528,1
123,Torfaen Principal Area,Wales,Rural,GB-TOF,0,5.8,,-64.95698925,0.199382292,,,-25.52688172,0.144460028,-35.14130435,0.362216064,-52.07526882,0.311151562,20.71428571,-0.067793313,303,438.1812552,1.446142756,0.02503183,258,262.9358743,1.019131296,0.015020647,105,269.9286722,2.570749259,0.015420122,56,26.08460361,0.465796493,0.001490126,10,2.18130513,0.218130513,0.000124611,10,18.12745235,1.812745235,0.001035561,5,125.0749558,25.01499116,0.007145114,23,47.1040646,2.048002809,0.002690898,33,21.0104597,0.636680597,0.001200257,7,0.885055305,0.126436472,5.06E-05,19,96.97811056,5.104111082,0.005540035,60,94.6832913,1.578054855,1,80,6.051956799,0.07564946,1
124,Tyne and Wear,England,Urban,,0,30.4,17333,-68.70967742,0.235639044,13.4516129,0.96504133,-23.93548387,0.226418191,-58.37634409,0.269060905,-56.55913978,0.276968757,20.37634409,-0.099832891,2091,5566.166044,2.661963675,0.100990674,1660,3925.479348,2.364746595,0.071222597,694,2440.926169,3.517184682,0.044287356,353,337.616226,0.956419904,0.006125597,100,33.3322968,0.333322968,0.00060477,54,272.014631,5.037307982,0.004935343,29,1110.97804,38.30958758,0.020157218,229,482.6911825,2.107821758,0.008757789,240,112.4291043,0.468454601,0.002039876,73,13.68517712,0.18746818,0.000248299,309,2351.292543,7.609360982,0.042661073,263,800.2394727,3.042735638,1,441,51.88737046,0.117658436,1
125,Vale of Glamorgan,Wales,Rural,GB-VGL,0,14.8,17690,-61.02150538,0.382262541,-5.418604651,0.748195479,-23.77419355,0.311330608,-56.25806452,0.272746262,-56.80645161,0.280206499,23.56451613,-0.071890021,409,1209.852009,2.95807337,0.036711026,325,536.3146781,1.65019901,0.016273612,125,783.9415407,6.271532326,0.023787453,32,24.79119758,0.774724924,0.000752249,15,3.91066212,0.260710808,0.000118663,14,37.40763263,2.671973759,0.001135075,13,573.5500951,44.11923808,0.017403461,36,92.85330503,2.579258473,0.002817485,63,16.99571282,0.269773219,0.000515708,20,3.22326817,0.161163409,9.78E-05,31,336.8418747,10.86586692,0.010220928,41,110.4042103,2.692785618,1,144,9.874050121,0.068569793,1
126,Warrington,England,Urban,GB-WRT,0,33.1,20291,-66.27956989,0.310345857,20.02222222,0.905845314,-23.01075269,0.172450837,-57.40860215,0.307167796,-54.11827957,0.291769867,22,-0.137633508,508,1212.227952,2.386275496,0.062548749,388,774.4928073,1.996115483,0.039962415,184,651.8361284,3.542587654,0.033633554,25,21.40949968,0.856379987,0.001104691,41,10.43495069,0.254510992,0.000538424,10,22.54012845,2.254012845,0.001163029,10,340.2341178,34.02341178,0.017555459,48,80.59894263,1.679144638,0.004158758,51,22.99515353,0.450885363,0.001186508,21,6.467133285,0.307958728,0.000333692,78,482.8185025,6.189980801,0.024912553,64,214.1009839,3.345327874,1,160,10.62853924,0.06642837,1
127,Warwickshire,England,Rural,GB-WAR,0,24.1,23285,-68.47311828,0.285473427,10.32258065,1.001477127,-20.79569892,0.257482618,-54.8172043,0.336173197,-56,0.313777566,21.82795699,-0.108606129,1728,5192.774574,3.005077879,0.02593819,1393,2717.017403,1.950479112,0.013571649,637,3258.017211,5.114626705,0.016273972,205,217.4038867,1.060506764,0.001085944,70,17.48195649,0.249742236,8.73E-05,64,97.06842609,1.516694158,0.000484862,39,2074.546653,53.19350393,0.010362473,155,373.8324503,2.41182226,0.001867313,293,120.651409,0.411779553,0.00060266,71,9.896111095,0.139381846,4.94E-05,100,1452.450977,14.52450977,0.007255071,302,782.2600402,2.590265034,1,429,47.1826649,0.109982902,1
128,West Berkshire,England,Rural,GB-WBK,0,15.5,,-71.22580645,0.303944973,-0.505376344,0.747635105,-28.33333333,0.228372773,-63.6344086,0.345796903,-59.70967742,0.327071708,26.82539683,-0.095176126,458,1415.071003,3.089674679,0.021740887,388,1035.132443,2.66786712,0.015903582,156,587.7771561,3.767802283,0.009030499,35,27.34935467,0.781410134,0.00042019,8,2.1222575,0.265282187,3.26E-05,22,17.47794788,0.794452176,0.000268528,9,341.3062485,37.9229165,0.005243766,33,33.65757296,1.019926453,0.000517109,81,38.81833325,0.479238682,0.000596398,20,2.852481525,0.142624076,4.38E-05,41,734.1371274,17.9057836,0.011279146,86,207.8385956,2.416727856,1,123,9.5110839,0.077325885,1
129,West Dunbartonshire Council,Scotland,Rural,GB-WDU,0,,,-58.60215054,0.279460476,-64,-2.108108108,-18.8172043,0.247948435,-50.09677419,0.271791352,-56.20430108,0.27077676,19.79166667,-0.006943545,299,608.8859406,2.036407828,0.033126877,228,329.6009176,1.44561806,0.017932175,108,363.9415249,3.369828934,0.0198005,9,4.077231921,0.453025769,0.000221825,25,8.717987863,0.348719515,0.000474308,10,34.32960727,3.432960727,0.001867727,11,233.1478388,21.19525808,0.012684576,31,36.76159059,1.185857761,0.002000041,28,13.22374917,0.472276756,0.000719448,4,0.657605745,0.164401436,3.58E-05,28,184.2136491,6.579058898,0.010022276,37,84.65650185,2.288013564,1,116,9.10017824,0.078449812,1
130,West Lothian,Scotland,Rural,GB-WLN,0,,18267,-61.02150538,0.170600698,-16.48717949,0.25803517,-12.68817204,0.194085524,-48.77419355,0.233923189,-56.07526882,0.239399003,23.08333333,-0.109929872,509,1446.256416,2.841368205,0.034166518,405,937.484581,2.314776743,0.022147237,169,650.8754822,3.851334214,0.015376353,8,6.99542398,0.874427997,0.000165261,30,9.18360403,0.306120134,0.000216954,19,37.75737647,1.987230341,0.000891984,15,460.3629117,30.69086078,0.010875663,54,38.6068982,0.714942559,0.000912054,41,14.55057034,0.35489196,0.000343744,5,0.618421255,0.123684251,1.46E-05,52,719.0388567,13.82767032,0.016986652,65,142.103647,2.186209954,1,220,17.0387065,0.077448666,1
131,West Midlands,England,Urban,,0,,17150,-67.31182796,0.251633792,20.02150538,1.105756319,-23.75268817,0.223642983,-65.38709677,0.248769061,-55.07526882,0.33090627,20.64516129,-0.118170153,3233,9396.933143,2.906567629,0.104220496,2306,6807.886101,2.95224896,0.07550562,1371,4237.762099,3.091000801,0.047000618,363,510.0330102,1.405049615,0.005656728,220,51.95852318,0.236175105,0.000576267,91,458.6430979,5.040034043,0.005086767,54,1722.990085,31.90722379,0.01910952,486,783.7542277,1.61266302,0.008692544,456,201.6539956,0.442223674,0.002236525,167,30.34420656,0.181701836,0.000336545,279,3932.953766,14.09660848,0.043620018,444,1648.715056,3.713322199,1,673,55.88717441,0.083041864,1
132,West Sussex,England,Rural,GB-WSX,0,16.7,23276,-65.4516129,0.302288801,33.03225806,1.395317955,-22.83870968,0.260511474,-76.38709677,0.151010116,-55.19354839,0.315448659,20.90322581,-0.114126705,2039,4588.077891,2.25016081,0.023404003,1661,2448.399929,1.474051733,0.012489404,696,3024.30402,4.345264397,0.015427118,191,143.3224524,0.750379332,0.000731095,57,18.05025356,0.316671115,9.21E-05,77,101.9809419,1.324427817,0.00052021,33,1834.107696,55.5790211,0.00935587,160,269.5935902,1.684959939,0.00137521,282,116.9674027,0.414778024,0.000596656,128,17.9264226,0.140050177,9.14E-05,97,1146.674586,11.82138749,0.005849241,318,884.6260576,2.781842948,1,696,54.82848764,0.078776563,1
133,West Yorkshire,England,Urban,,0,26.2,17086,-66.94623656,0.261436543,23.34408602,1.03116887,-23.02150538,0.239727254,-61.40860215,0.260481633,-54.87096774,0.293336516,20.79569892,-0.110321984,4735,10990.37443,2.321092804,0.054159554,3721,6651.737533,1.787620944,0.032779151,1984,6504.413955,3.278434453,0.032053154,576,686.1577481,1.19124609,0.003381322,315,81.4551136,0.258587662,0.000401403,260,429.6660612,1.652561774,0.002117355,92,3441.978044,37.41280483,0.016961751,451,790.7744224,1.753380094,0.003896864,534,245.1329019,0.459050378,0.001207992,156,24.42931654,0.156598183,0.000120385,311,3036.245183,9.762846246,0.014962337,970,2165.777058,2.232759853,1,1070,88.75858095,0.082951945,1
134,Wiltshire,England,Rural,GB-WIL,0,20.7,22522,-65.83870968,0.279042702,-0.655913978,0.918668497,-24.96774194,0.242726269,-48.1827957,0.410760646,-55.06451613,0.314971203,20.92473118,-0.110814359,1823,4104.86329,2.251707784,0.012796507,1573,2583.028854,1.642103531,0.008052338,526,2137.836086,4.06432716,0.006664493,163,103.3704515,0.634174549,0.000322247,36,10.12194756,0.28116521,3.16E-05,102,72.09506943,0.706814406,0.000224749,30,1281.242657,42.70808855,0.003994148,106,220.283586,2.078147038,0.000686712,380,134.4814434,0.353898535,0.000419233,78,10.18624541,0.13059289,3.18E-05,112,1608.155463,14.35853092,0.005013266,276,616.0016507,2.231890039,1,540,48.92477642,0.090601438,1
135,Windsor and Maidenhead,England,Rural,GB-WNM,0,14.4,,-72.52688172,0.256453105,-14.44086022,0.972024111,-22.30107527,0.285712154,-60.39784946,0.474471069,-62.33333333,0.305795112,27.44230769,-0.087183185,291,3402.825764,11.69355933,0.182728731,225,2900.778387,12.89234839,0.155769232,102,590.0547001,5.784850001,0.031685415,26,26.07917156,1.00304506,0.001400428,6,1.450777165,0.241796194,7.79E-05,18,22.52486611,1.251381451,0.001209565,13,421.1076045,32.39289265,0.022613106,30,76.48088826,2.549362942,0.004106956,24,11.32631494,0.471929789,0.000608213,17,3.008107076,0.176947475,0.000161533,44,2746.486135,62.42013942,0.147483874,36,88.00732315,2.444647865,1,77,6.354576863,0.082526972,1
136,Wokingham,England,Urban,GB-WOK,0,23.2,13138,-65.34408602,0.224374086,19.3030303,1.040155876,-30.64516129,0.267718063,-60.48387097,0.271164692,-64.44086022,0.322371759,29.42857143,-0.087146042,458,1433.74023,3.130437184,0.069388908,355,864.7714725,2.435975979,0.041852455,162,785.9515536,4.8515528,0.038037797,30,50.15112055,1.671704018,0.00242717,12,3.77435284,0.314529403,0.000182668,9,9.80518585,1.089465094,0.000474543,12,444.6748745,37.05623954,0.021520986,48,117.5599297,2.449165201,0.005689563,39,16.33364886,0.418811509,0.000790502,31,2.959600915,0.095470997,0.000143236,47,556.2724583,11.83558422,0.026921989,59,216.9827957,3.677674503,1,171,15.22626321,0.089042475,1
137,Worcestershire,England,Rural,GB-WOR,0,18.6,21468,-67.48387097,0.305123691,30.62365591,1.229611172,-24.44086022,0.251216019,-51.82795699,0.386395512,-54.03225806,0.335098923,20.39784946,-0.118543165,1446,3842.428317,2.657280993,0.022508938,1148,2249.686213,1.95965698,0.013178658,528,2126.880943,4.028183604,0.012459265,128,133.3695488,1.0419496,0.000781279,48,11.57590165,0.241164618,6.78E-05,55,77.7275376,1.413227956,0.000455328,33,1239.216547,37.55201657,0.007259328,150,330.1769944,2.201179963,0.001934176,253,137.0691523,0.541775305,0.000802951,67,11.77266102,0.175711358,6.90E-05,140,1333.929936,9.528070971,0.007814159,230,534.138839,2.322342778,1,342,33.45119905,0.097810524,1
138,Wrexham Principal Area,Wales,Urban,GB-WRX,0,23.5,18840,-67.13978495,0.166930262,-14.2238806,0.400837017,-23.17204301,0.178866641,-43.48387097,0.317627048,-49.40860215,0.240682164,20.77777778,-0.065320119,422,851.6594262,2.018150299,0.015529394,329,658.7955877,2.0024182,0.012012661,164,353.1102707,2.153111407,0.006438711,14,11.95325679,0.853804056,0.000217959,26,5.448706005,0.209565616,9.94E-05,33,25.62146773,0.776408113,0.000467189,5,131.8973011,26.37946023,0.002405052,42,53.10988996,1.264521189,0.00096842,57,23.85064008,0.418432282,0.000434899,20,2.407941365,0.120397068,4.39E-05,31,427.1935403,13.78043678,0.007789566,71,160.2464323,2.256992004,1,123,9.930250575,0.080733745,1
139,York,England,Urban,GB-YOR,0,28.3,19777,-74.10752688,0.221389991,-21.81111111,0.560862797,-32.10752688,0.239548208,-72.10752688,0.267479335,-64.41935484,0.226970249,24.36619718,-0.121331449,431,862.1605913,2.000372602,0.030987572,327,381.7934391,1.167564034,0.013722329,159,615.2888121,3.869740957,0.022114565,51,55.07912591,1.079982861,0.001979641,19,6.754847045,0.355518266,0.000242781,16,26.31141983,1.644463739,0.000945679,12,376.427878,31.36898983,0.013529482,40,93.33893453,2.333473363,0.003354766,60,19.25428954,0.320904826,0.000692033,33,3.845492682,0.116530081,0.000138214,30,132.0836363,4.402787877,0.004747319,55,134.9216598,2.453121088,1,115,14.14330766,0.122985284,1
